"Type","Name","SourcePath","DestinationPath","SourceExists","DestinationExists","SourceFileCount","DestinationFileCount","SourceSize","DestinationSize","Notes"
"Page folder","Celebrity Characters","D:\github\ron-english-sketches-and-drawings\Sketches\celebrity-characters","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters","True","True","112","112","1.11 MB","1.11 MB","Backup folders may be excluded from destination"
"Page folder","Character Balls","D:\github\ron-english-sketches-and-drawings\Sketches\character-balls","D:\github\ron-english-sketches-pop-culture\Sketches\character-balls","True","True","29","29","264.17 KB","264.17 KB","Backup folders may be excluded from destination"
"Page folder","Combrats","D:\github\ron-english-sketches-and-drawings\Sketches\combrats","D:\github\ron-english-sketches-pop-culture\Sketches\combrats","True","True","9","9","92.44 KB","92.44 KB","Backup folders may be excluded from destination"
"Page folder","TVities","D:\github\ron-english-sketches-and-drawings\Sketches\tvities","D:\github\ron-english-sketches-pop-culture\Sketches\tvities","True","True","5","5","40.63 KB","40.64 KB","Backup folders may be excluded from destination"
"Image folder","celebrity-characters","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters","D:\github\ron-english-sketches-pop-culture\images\Sketches\celebrity-characters","True","True","412","412","104.61 MB","104.61 MB","Required"
"Image folder","character balls","D:\github\ron-english-sketches-and-drawings\images\Sketches\character balls","D:\github\ron-english-sketches-pop-culture\images\Sketches\character balls","True","True","80","80","8.60 MB","8.60 MB","Required"
"Image folder","Combrats","D:\github\ron-english-sketches-and-drawings\images\Sketches\Combrats","D:\github\ron-english-sketches-pop-culture\images\Sketches\Combrats","True","True","55","55","9.18 MB","9.18 MB","Required"
"Image folder","TVities","D:\github\ron-english-sketches-and-drawings\images\Sketches\TVities","D:\github\ron-english-sketches-pop-culture\images\Sketches\TVities","True","True","14","14","1.93 MB","1.93 MB","Required"
"Generated file","Root landing page","","D:\github\ron-english-sketches-pop-culture\index.html","","True","","","","","Repository home page"
"Generated file","Sketches landing page","","D:\github\ron-english-sketches-pop-culture\Sketches\index.html","","True","","","","","Pop Culture landing page"
"Audit","Navigation updates","","","","","","","","","HTML scanned: 156; HTML changed: 5; anchors updated: 9; anchors removed: 0"
"Audit","Possible missing image references","","D:\github\ron-english-sketches-pop-culture\_copy-audit\copy-pop-culture-to-new-repo-20260511-151132-possible-missing-image-references.csv","","True","","0","","","Should ideally be 0 after auto-copy."
"Audit","Auto-copied missing images","","D:\github\ron-english-sketches-pop-culture\_copy-audit\copy-pop-culture-to-new-repo-20260511-151132-auto-copied-missing-images.csv","","True","","0","","","Root-level hero or other missing image files copied from source."
"Audit","Possible missing internal page links","","D:\github\ron-english-sketches-pop-culture\_copy-audit\copy-pop-culture-to-new-repo-20260511-151132-possible-missing-internal-page-links.csv","","True","","8","","","May include intentionally removed links to other split repos."
